algorithm,difficulty,reward_param,importance,n_samples
ddpg,0.0,cfg.w_distance,0.08258055745104348,47
ddpg,0.0,cfg.in_hole_reward,0.30100076175263213,47
ddpg,0.0,cfg.distance_scale,0.18984538453813163,47
ddpg,0.0,cfg.optimal_speed,0.0637327045632006,47
ddpg,0.0,cfg.optimal_speed_scale,0.12641873661859832,47
ddpg,0.0,cfg.dist_at_hole_scale,0.1525087453630118,47
ddpg,1.0,cfg.w_distance,0.14344054650630916,49
ddpg,1.0,cfg.in_hole_reward,0.08232783743398461,49
ddpg,1.0,cfg.distance_scale,0.07157154549222519,49
ddpg,1.0,cfg.optimal_speed,0.2358728407614175,49
ddpg,1.0,cfg.optimal_speed_scale,0.2587593452644386,49
ddpg,1.0,cfg.dist_at_hole_scale,0.425585403357941,49
ddpg,3.0,cfg.w_distance,0.1363503451710883,45
ddpg,3.0,cfg.in_hole_reward,0.13325406058415137,45
ddpg,3.0,cfg.distance_scale,0.059068162196031906,45
ddpg,3.0,cfg.optimal_speed,0.2120977237739162,45
ddpg,3.0,cfg.optimal_speed_scale,0.12622240793296588,45
ddpg,3.0,cfg.dist_at_hole_scale,0.3908075379789261,45
ddpg,5.0,cfg.w_distance,0.19713305138394593,50
ddpg,5.0,cfg.in_hole_reward,0.22279307570368667,50
ddpg,5.0,cfg.distance_scale,0.19721742848702267,50
ddpg,5.0,cfg.optimal_speed,0.15262563505817192,50
ddpg,5.0,cfg.optimal_speed_scale,0.13505284243856683,50
ddpg,5.0,cfg.dist_at_hole_scale,0.12445400407790967,50
sac,0.0,cfg.w_distance,0.11856866046233083,46
sac,0.0,cfg.in_hole_reward,0.07108661430912164,46
sac,0.0,cfg.distance_scale,0.06782616949304504,46
sac,0.0,cfg.optimal_speed,0.11721520918475167,46
sac,0.0,cfg.optimal_speed_scale,0.49459503493700563,46
sac,0.0,cfg.dist_at_hole_scale,0.05545443266947377,46
sac,1.0,cfg.w_distance,0.156792546975601,49
sac,1.0,cfg.in_hole_reward,0.06022856025680039,49
sac,1.0,cfg.distance_scale,0.08055481474338358,49
sac,1.0,cfg.optimal_speed,0.0474188009353657,49
sac,1.0,cfg.optimal_speed_scale,0.497557539211288,49
sac,1.0,cfg.dist_at_hole_scale,0.07224101438755777,49
sac,3.0,cfg.w_distance,0.3907944812506992,50
sac,3.0,cfg.in_hole_reward,0.13608365507627015,50
sac,3.0,cfg.distance_scale,0.2558627698521762,50
sac,3.0,cfg.optimal_speed,0.09998970588351655,50
sac,3.0,cfg.optimal_speed_scale,0.07955714026037794,50
sac,3.0,cfg.dist_at_hole_scale,0.1174719490071336,50
sac,5.0,cfg.w_distance,0.1189292195369546,49
sac,5.0,cfg.in_hole_reward,0.38317187429830735,49
sac,5.0,cfg.distance_scale,0.23350404534060942,49
sac,5.0,cfg.optimal_speed,0.12308843251166905,49
sac,5.0,cfg.optimal_speed_scale,0.14450360800684653,49
sac,5.0,cfg.dist_at_hole_scale,0.08298715834941821,49
td3,0.0,cfg.w_distance,0.02343881563455209,50
td3,0.0,cfg.in_hole_reward,0.09955800034561499,50
td3,0.0,cfg.distance_scale,0.12839289527989103,50
td3,0.0,cfg.optimal_speed,0.07925490518354676,50
td3,0.0,cfg.optimal_speed_scale,0.07156783747827714,50
td3,0.0,cfg.dist_at_hole_scale,0.8521602704563097,50
td3,1.0,cfg.w_distance,0.05360801384131088,50
td3,1.0,cfg.in_hole_reward,0.3369751137761876,50
td3,1.0,cfg.distance_scale,0.1484546654465484,50
td3,1.0,cfg.optimal_speed,0.12225319852080943,50
td3,1.0,cfg.optimal_speed_scale,0.3253261605983693,50
td3,1.0,cfg.dist_at_hole_scale,0.13305959985896446,50
td3,3.0,cfg.w_distance,0.09696094545897008,50
td3,3.0,cfg.in_hole_reward,0.18890705368280422,50
td3,3.0,cfg.distance_scale,0.11934666448715556,50
td3,3.0,cfg.optimal_speed,0.3256785803851634,50
td3,3.0,cfg.optimal_speed_scale,0.13572561667604718,50
td3,3.0,cfg.dist_at_hole_scale,0.16702419661358278,50
td3,5.0,cfg.w_distance,0.13773059752938385,50
td3,5.0,cfg.in_hole_reward,0.2734877996492842,50
td3,5.0,cfg.distance_scale,0.08497422655988139,50
td3,5.0,cfg.optimal_speed,0.2609712968275406,50
td3,5.0,cfg.optimal_speed_scale,0.26647133330278594,50
td3,5.0,cfg.dist_at_hole_scale,0.0938803724732744,50
thompson,0.0,cfg.w_distance,0.1229899692200866,50
thompson,0.0,cfg.in_hole_reward,0.06351023928243629,50
thompson,0.0,cfg.distance_scale,0.09609639342214124,50
thompson,0.0,cfg.optimal_speed,0.09480867943516212,50
thompson,0.0,cfg.optimal_speed_scale,0.09774200993655471,50
thompson,0.0,cfg.dist_at_hole_scale,0.6209968104475652,50
thompson,1.0,cfg.w_distance,0.15471590917015926,50
thompson,1.0,cfg.in_hole_reward,0.5095703386542588,50
thompson,1.0,cfg.distance_scale,0.13133457198757836,50
thompson,1.0,cfg.optimal_speed,0.1895154291789713,50
thompson,1.0,cfg.optimal_speed_scale,0.072300719930918,50
thompson,1.0,cfg.dist_at_hole_scale,0.0752951850417679,50
thompson,3.0,cfg.w_distance,0.2646874327694482,50
thompson,3.0,cfg.in_hole_reward,0.4650186828675996,50
thompson,3.0,cfg.distance_scale,0.08269813521469635,50
thompson,3.0,cfg.optimal_speed,0.18436680404187297,50
thompson,3.0,cfg.optimal_speed_scale,0.07389420972502461,50
thompson,3.0,cfg.dist_at_hole_scale,0.1354978501632833,50
thompson,5.0,cfg.w_distance,0.14054450096969912,50
thompson,5.0,cfg.in_hole_reward,0.1761926375949871,50
thompson,5.0,cfg.distance_scale,0.19826829158622525,50
thompson,5.0,cfg.optimal_speed,0.18708711787489968,50
thompson,5.0,cfg.optimal_speed_scale,0.07912342711867179,50
thompson,5.0,cfg.dist_at_hole_scale,0.29037009263247787,50
ucb,0.0,cfg.w_distance,0.08779604024421041,50
ucb,0.0,cfg.in_hole_reward,0.19682891392246088,50
ucb,0.0,cfg.distance_scale,0.07949901840747811,50
ucb,0.0,cfg.optimal_speed,0.34318861080151775,50
ucb,0.0,cfg.optimal_speed_scale,0.17729653975403545,50
ucb,0.0,cfg.dist_at_hole_scale,0.09788665573344,50
ucb,1.0,cfg.w_distance,0.6245316579254536,50
ucb,1.0,cfg.in_hole_reward,0.06752651516177519,50
ucb,1.0,cfg.distance_scale,0.04144443312738939,50
ucb,1.0,cfg.optimal_speed,0.031166129271146693,50
ucb,1.0,cfg.optimal_speed_scale,0.032126934549742435,50
ucb,1.0,cfg.dist_at_hole_scale,0.016748017974210428,50
ucb,3.0,cfg.w_distance,0.0928457515091304,50
ucb,3.0,cfg.in_hole_reward,0.12071141479391616,50
ucb,3.0,cfg.distance_scale,0.4850904948601863,50
ucb,3.0,cfg.optimal_speed,0.1506833385188556,50
ucb,3.0,cfg.optimal_speed_scale,0.17915291516810017,50
ucb,3.0,cfg.dist_at_hole_scale,0.13958257226804233,50
ucb,5.0,cfg.w_distance,0.21295333222727866,50
ucb,5.0,cfg.in_hole_reward,0.08004484037845527,50
ucb,5.0,cfg.distance_scale,0.11706594887186546,50
ucb,5.0,cfg.optimal_speed,0.11099156073933533,50
ucb,5.0,cfg.optimal_speed_scale,0.12340432135939787,50
ucb,5.0,cfg.dist_at_hole_scale,0.41056418700181896,50
