name,id,url,final_success_rate,n_train_points,train_step_min,train_step_max,stitched_step,n_total_points
deft-sweep-138,lpjeay72,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/lpjeay72,0.99,4,200,800,1000,5
morning-sweep-110,xupe5wir,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/xupe5wir,0.97,4,200,800,1000,5
cosmic-sweep-25,qtzorhus,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/qtzorhus,0.96,4,200,800,1000,5
jumping-sweep-30,knoh8m5k,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/knoh8m5k,0.96,4,200,800,1000,5
resilient-sweep-55,u7zvsxqv,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/u7zvsxqv,0.96,4,200,800,1000,5
warm-sweep-57,acrz2nc3,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/acrz2nc3,0.96,4,200,800,1000,5
brisk-sweep-155,ahoqnvm4,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/ahoqnvm4,0.96,4,200,800,1000,5
wise-sweep-183,7wshi6yu,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/7wshi6yu,0.96,4,200,800,1000,5
brisk-sweep-3,y1gw6m4a,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/y1gw6m4a,0.95,4,200,800,1000,5
prime-sweep-74,xuxawkck,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/xuxawkck,0.95,4,200,800,1000,5
fanciful-sweep-194,osl17g9p,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/osl17g9p,0.95,4,200,800,1000,5
hopeful-sweep-198,bqw17pr9,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/bqw17pr9,0.95,4,200,800,1000,5
pleasant-sweep-56,vh7y6j4l,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/vh7y6j4l,0.94,4,200,800,1000,5
fluent-sweep-120,8usoephe,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/8usoephe,0.94,4,200,800,1000,5
blooming-sweep-37,wsevlwvd,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/wsevlwvd,0.93,4,200,800,1000,5
gentle-sweep-147,vmuck29z,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/vmuck29z,0.93,4,200,800,1000,5
avid-sweep-172,d3eut8j0,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/d3eut8j0,0.93,4,200,800,1000,5
dainty-sweep-197,d78xsbne,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/d78xsbne,0.93,4,200,800,1000,5
deft-sweep-24,7tviywmt,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/7tviywmt,0.92,4,200,800,1000,5
blooming-sweep-52,drdqpms1,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/drdqpms1,0.92,4,200,800,1000,5
honest-sweep-102,hv4iv5wv,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/hv4iv5wv,0.92,4,200,800,1000,5
laced-sweep-137,x97paicr,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/x97paicr,0.92,4,200,800,1000,5
playful-sweep-190,d94hwqde,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/d94hwqde,0.92,4,200,800,1000,5
glad-sweep-19,lx860m6z,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/lx860m6z,0.91,4,200,800,1000,5
eager-sweep-54,afrxu4yn,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/afrxu4yn,0.91,4,200,800,1000,5
stellar-sweep-112,mmg355om,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/mmg355om,0.91,4,200,800,1000,5
fluent-sweep-145,jtfqvbuu,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/jtfqvbuu,0.91,4,200,800,1000,5
brisk-sweep-6,e96ola2s,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/e96ola2s,0.9,4,200,800,1000,5
sleek-sweep-29,vhkrufp5,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/vhkrufp5,0.9,4,200,800,1000,5
elated-sweep-53,ollo57w3,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/ollo57w3,0.9,4,200,800,1000,5
absurd-sweep-118,p0ejpeno,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/p0ejpeno,0.9,4,200,800,1000,5
quiet-sweep-146,r3raig2b,https://wandb.ai/rl_golf/golf_robot_thompson_v_zero_final_training/runs/r3raig2b,0.9,4,200,800,1000,5
